displayName,printYear,author,printLocation,category,source,textFileURL,nikudMetegFileURL,OCRDataURL,ocrFeDir,displayNameEnglish,authorEnglish,categoryEnglish,printLocationEnglish,underwentBerelUnflagging,fileName,notHumanReviewed
דברי התורה,1881,"אוירבאך, צבי הירש בן מנחם",ורשה,מפרשי השולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/divreihatorah/divreihatorah__text_files.zip,https://files.dicta.org.il/divreihatorah/divreihatorah__nikud_meteg_files.zip,https://files.dicta.org.il/divreihatorah/divreihatorah__ocr_data_html_files.zip,divreihatorah,Divrei haTorah,"Aurbach, Tzvi Hirsch",Commentaries on Shulchan Aruch,Warsaw,,divreihatorah,
דברי חן חלק א,1904,רבי חיים בן אברהם נתנזון,פיוטרקוב,"מפרשים וחיבורים על הרמב""ם",,https://files.dicta.org.il/divreihen1/divreihen1__text_files.zip,https://files.dicta.org.il/divreihen1/divreihen1__nikud_meteg_files.zip,https://files.dicta.org.il/divreihen1/divreihen1__ocr_data_html_files.zip,divreihen1_EGT,Divrei Hen part 1,"Natenzohn, Hayim",Commentaries on the Rambam,Piotrkov,,divreihen1,
דברי מלכיאל א,1891,רבי מלכיאל צבי טננבוים,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/divreimalkiel1/divreimalkiel1__text_files.zip,https://files.dicta.org.il/divreimalkiel1/divreimalkiel1__nikud_meteg_files.zip,https://files.dicta.org.il/divreimalkiel1/divreimalkiel1__ocr_data_html_files.zip,divreimalkiel1_EGT,Divrei Malkiel Vol 1,Malkiel Tzvi Tenenbaum,Responsa,Vilna,,divreimalkiel1,
דברי מלכיאל ב,1891,רבי מלכיאל צבי טננבוים,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/divreimalkiel2/divreimalkiel2__text_files.zip,https://files.dicta.org.il/divreimalkiel2/divreimalkiel2__nikud_meteg_files.zip,https://files.dicta.org.il/divreimalkiel2/divreimalkiel2__ocr_data_html_files.zip,divreimalkiel2_EGT,Divrei Malkiel Vol 2,Malkiel Tzvi Tenenbaum,Responsa,Vilna,,divreimalkiel2,
דברי מלכיאל ג,1901,רבי מלכיאל צבי טננבוים,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/divreimalkiel3/divreimalkiel3__text_files.zip,https://files.dicta.org.il/divreimalkiel3/divreimalkiel3__nikud_meteg_files.zip,https://files.dicta.org.il/divreimalkiel3/divreimalkiel3__ocr_data_html_files.zip,divreimalkiel3_EGT,Divrei Malkiel Vol 3,Malkiel Tzvi Tenenbaum,Responsa,Vilna,,divreimalkiel3,
דברי מלכיאל ד,1904,רבי מלכיאל צבי טננבוים,פיעטרקוב,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/divreimalkiel4/divreimalkiel4__text_files.zip,https://files.dicta.org.il/divreimalkiel4/divreimalkiel4__nikud_meteg_files.zip,https://files.dicta.org.il/divreimalkiel4/divreimalkiel4__ocr_data_html_files.zip,divreimalkiel4_EGT,Divrei Malkiel Vol 4,Malkiel Tzvi Tenenbaum,Responsa,Peterkov,,divreimalkiel4,
דברי מלכיאל ה,1909,רבי מלכיאל צבי טננבוים,פיעטרקוב,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/divreimalkiel5/divreimalkiel5__text_files.zip,https://files.dicta.org.il/divreimalkiel5/divreimalkiel5__nikud_meteg_files.zip,https://files.dicta.org.il/divreimalkiel5/divreimalkiel5__ocr_data_html_files.zip,divreimalkiel5_EGT,Divrei Malkiel Vol 5,Malkiel Tzvi Tenenbaum,Responsa,Peterkov,,divreimalkiel5,
דברי נחמיה אבן נזר,1866,הרב נחמיה הלוי בירך גינזבורג מדוברובנה,וילנה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/divreinechemyahevenhaezer/divreinechemyahevenhaezer__text_files.zip,https://files.dicta.org.il/divreinechemyahevenhaezer/divreinechemyahevenhaezer__nikud_meteg_files.zip,https://files.dicta.org.il/divreinechemyahevenhaezer/divreinechemyahevenhaezer__ocr_data_html_files.zip,divreinechemyahevenhaezer,Divrei Nechemyah Even Haezer,R. Nehemiah ha-Levi Ginzburg,Responsa,Vilna,,divreinechemyahevenhaezer,
דברי נחמיה אורח חיים,1869,הרב נחמיה הלוי בירך גינזבורג מדוברובנה,וילנה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/divreinechemyahorachchaim/divreinechemyahorachchaim__text_files.zip,https://files.dicta.org.il/divreinechemyahorachchaim/divreinechemyahorachchaim__nikud_meteg_files.zip,https://files.dicta.org.il/divreinechemyahorachchaim/divreinechemyahorachchaim__ocr_data_html_files.zip,divreinechemyahorachchaim,Divrei Nechemyah Orach Chaim,R. Nehemiah ha-Levi Ginzburg,Responsa,Vilna,,divreinechemyahorachchaim,
דברי נחמיה יורה דעה,1869,הרב נחמיה הלוי בירך גינזבורג מדוברובנה,וילנה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/divreinechemyahyorehdeah/divreinechemyahyorehdeah__text_files.zip,https://files.dicta.org.il/divreinechemyahyorehdeah/divreinechemyahyorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/divreinechemyahyorehdeah/divreinechemyahyorehdeah__ocr_data_html_files.zip,divreinechemyahyorehdeah,Divrei Nechemyah Yoreh Deah,R. Nehemiah ha-Levi Ginzburg,Responsa,Vilna,,divreinechemyahyorehdeah,
דברי פנחס,1912,ר' פנחס צימטבוים,ויטצען,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/divreipinchas/divreipinchas__text_files.zip,https://files.dicta.org.il/divreipinchas/divreipinchas__nikud_meteg_files.zip,https://files.dicta.org.il/divreipinchas/divreipinchas__ocr_data_html_files.zip,divreipinchas,Divrei Pinchas,"Tzaimetbaum, Pinchas Segal",Responsa,Vac,,divreipinchas,
דברי ריבות,1833,רבי יצחק בן שמואל אדרבי,סדילקוב,"שו""ת",,https://files.dicta.org.il/divreirivot/divreirivot__text_files.zip,https://files.dicta.org.il/divreirivot/divreirivot__nikud_meteg_files.zip,https://files.dicta.org.il/divreirivot/divreirivot__ocr_data_html_files.zip,divreirivot_EGT,Divrei Rivot,Isaac Adarbi,Responsa,,,divreirivot,
"דברי שאול - יוסף דעת - א (יו""ד)",1878,רבי יוסף שאול נתנזון,לבוב,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/divreishaulyosefdaat1/divreishaulyosefdaat1__text_files.zip,https://files.dicta.org.il/divreishaulyosefdaat1/divreishaulyosefdaat1__nikud_meteg_files.zip,https://files.dicta.org.il/divreishaulyosefdaat1/divreishaulyosefdaat1__ocr_data_html_files.zip,divreishaulyosefdaat1,Divre Shaul Yosef Daat part 1,"Nathanson, Joseph Saul",Commentaries on Shulchan Aruch,Lvov,,divreishaulyosefdaat1,
דברי סופרים,1913,ר' צדוק הכהן,לובלין,ספרי חסידות,ספריית דיקטה,https://files.dicta.org.il/divreisofrim/divreisofrim__text_files.zip,https://files.dicta.org.il/divreisofrim/divreisofrim__nikud_meteg_files.zip,https://files.dicta.org.il/divreisofrim/divreisofrim__ocr_data_html_files.zip,divreisofrim,Divrei Sofrim,Rabbi Zadok HaCohen,Sifrei Chasidut,Lublin,,divreisofrim,
דברי יהונתן,1903,"אייבשיץ, יהונתן בן נתן נטע",פודגורזה,דרשות ודרושים,ספריית דיקטה,https://files.dicta.org.il/divreiyehonatan/divreiyehonatan__text_files.zip,https://files.dicta.org.il/divreiyehonatan/divreiyehonatan__nikud_meteg_files.zip,https://files.dicta.org.il/divreiyehonatan/divreiyehonatan__ocr_data_html_files.zip,divreiyehonatan,Divrei Yehonatan,Jonathan Eybeschutz,Derashot,Podgorze,,divreiyehonatan,
דברי יוסף,1947,רבי יוסף קאנוויץ,ניו יורק,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/divreiyosef/divreiyosef__text_files.zip,https://files.dicta.org.il/divreiyosef/divreiyosef__nikud_meteg_files.zip,https://files.dicta.org.il/divreiyosef/divreiyosef__ocr_data_html_files.zip,divreiyosef_EGT,Divrei Yosef,Josef Konvitz,Responsa,New York,,divreiyosef,
דובר צדק,1911,ר' צדוק הכהן,פיוטריקוב,ספרי חסידות,ספריית דיקטה,https://files.dicta.org.il/dovertzedek/dovertzedek__text_files.zip,https://files.dicta.org.il/dovertzedek/dovertzedek__nikud_meteg_files.zip,https://files.dicta.org.il/dovertzedek/dovertzedek__ocr_data_html_files.zip,dovertzedek,Dover Tzedek,Rabbi Zadok HaCohen,Sifrei Chasidut,Pyotrikov,,dovertzedek,
דבר אברהם - א,1906,ר' אברהם כהנא שפירא,ורשא,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/dvaravraham1/dvaravraham1__text_files.zip,https://files.dicta.org.il/dvaravraham1/dvaravraham1__nikud_meteg_files.zip,https://files.dicta.org.il/dvaravraham1/dvaravraham1__ocr_data_html_files.zip,dvaravraham1,Dvar Avraham part 1,Rabbi Avraham Dov-Ber Kahana Shapiro ,Chiddushim by Topic,Warsaw,,dvaravraham1,
דבר אברהם - ב,1906,ר' אברהם כהנא שפירא,ורשא,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/dvaravraham2/dvaravraham2__text_files.zip,https://files.dicta.org.il/dvaravraham2/dvaravraham2__nikud_meteg_files.zip,https://files.dicta.org.il/dvaravraham2/dvaravraham2__ocr_data_html_files.zip,dvaravraham2,Dvar Avraham part 2,Rabbi Avraham Dov-Ber Kahana Shapiro ,Chiddushim by Topic,Warsaw,,dvaravraham2,
דבר אברהם - ג,1906,ר' אברהם כהנא שפירא,ורשא,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/dvaravraham3/dvaravraham3__text_files.zip,https://files.dicta.org.il/dvaravraham3/dvaravraham3__nikud_meteg_files.zip,https://files.dicta.org.il/dvaravraham3/dvaravraham3__ocr_data_html_files.zip,dvaravraham3,Dvar Avraham part 3,Rabbi Avraham Dov-Ber Kahana Shapiro ,Chiddushim by Topic,Warsaw,,dvaravraham3,
דבר אליהו (קלאצקין),1915,"קלאצקין, אליהו בן נפתלי הירץ",לובלין,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/dvareliyahuklatzkin/dvareliyahuklatzkin__text_files.zip,https://files.dicta.org.il/dvareliyahuklatzkin/dvareliyahuklatzkin__nikud_meteg_files.zip,https://files.dicta.org.il/dvareliyahuklatzkin/dvareliyahuklatzkin__ocr_data_html_files.zip,dvareliyahuklatzkin,Dvar Eliyahu (Klatzkin),Eliyahu Ben Naftali Hertz Klatzkin,Responsa,Lublin,,dvareliyahuklatzkin,
עדות ביעקב,1872,רבי יצחק יעקב ריינעס,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/edutbeyaakov/edutbeyaakov__text_files.zip,https://files.dicta.org.il/edutbeyaakov/edutbeyaakov__nikud_meteg_files.zip,https://files.dicta.org.il/edutbeyaakov/edutbeyaakov__ocr_data_html_files.zip,edutbeyaakov,Edut be-Yaakov,Yitzchak Yaacov Reines,Responsa,Vilna,,edutbeyaakov,
אם יעקב,1904,ר יעקב בנימין יקימובסקי,וורשה,"מפרשי הש""ס",ספריית דיקטה,https://files.dicta.org.il/eimyaakov/eimyaakov__text_files.zip,https://files.dicta.org.il/eimyaakov/eimyaakov__nikud_meteg_files.zip,https://files.dicta.org.il/eimyaakov/eimyaakov__ocr_data_html_files.zip,eimyaakov,Eim Yaakov,,Shas Commentators,Warsaw,,eimyaakov,
"עין מאיר (רמב""ם)",1890,ר' מאיר טויבר,פרשבוג,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,https://files.dicta.org.il/einmeirrambam/einmeirrambam__text_files.zip,https://files.dicta.org.il/einmeirrambam/einmeirrambam__nikud_meteg_files.zip,https://files.dicta.org.il/einmeirrambam/einmeirrambam__ocr_data_html_files.zip,einmeirrambam,Ein Meir rambam,rabbi avraham Landa,Commentaries on the Rambam,Pressburg,,einmeirrambam,
עין יצחק חלק ב,1895,רבי יצחק אלחנן בן ישראל ספקטור,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/einyitzchak/einyitzchak__text_files.zip,https://files.dicta.org.il/einyitzchak/einyitzchak__nikud_meteg_files.zip,https://files.dicta.org.il/einyitzchak/einyitzchak__ocr_data_html_files.zip,einyitzchak_EGT,Ein Yitzchak part 2,Yitzchak Elchanan Spektor,Responsa,Vilna,,einyitzchak,
עין יצחק חלק א,1889,רבי יצחק אלחנן בן ישראל ספקטור,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/einyitzchak1/einyitzchak1__text_files.zip,https://files.dicta.org.il/einyitzchak1/einyitzchak1__nikud_meteg_files.zip,https://files.dicta.org.il/einyitzchak1/einyitzchak1__ocr_data_html_files.zip,einyitzchak1_EGT,Ein Yitzchak part 1,Yitzchak Elchanan Spektor,Responsa,Vilna,,einyitzchak1,
איתן האזרחי,1796,רבי אברהם רפפורט,אוסטריה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/eitanhaezrachi/eitanhaezrachi__text_files.zip,https://files.dicta.org.il/eitanhaezrachi/eitanhaezrachi__nikud_meteg_files.zip,https://files.dicta.org.il/eitanhaezrachi/eitanhaezrachi__ocr_data_html_files.zip,eitanhaezrachi_EGT,Eitan Haezrachi,Avraham ben Yisroel Yechiel haCohen Rappoport,Responsa,Austria,,eitanhaezrachi,
עץ הדר,1907,רבי אברהם יצחק הכהן קוק,ירושלים,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/eitzhadar/eitzhadar__text_files.zip,https://files.dicta.org.il/eitzhadar/eitzhadar__nikud_meteg_files.zip,https://files.dicta.org.il/eitzhadar/eitzhadar__ocr_data_html_files.zip,eitzhadar,Eitz Heder,Abraham Isaac Kook,Halachah and Minhagim,Jerusalem,,eitzhadar,
אלה המצות,1887,רבי משה בן יעקב ישראל חגיז,ורשה,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/elehamitzvot/elehamitzvot__text_files.zip,https://files.dicta.org.il/elehamitzvot/elehamitzvot__nikud_meteg_files.zip,https://files.dicta.org.il/elehamitzvot/elehamitzvot__ocr_data_html_files.zip,elehamitzvot,Ele Ha-mitzvot,Moses Hagiz,Halachah and Minhagim,Warsaw,,elehamitzvot,
עמק יהושע חלק א,1925,"שפירא, יהושע איזיק בן יחיאל",ירושלים,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/emekyehoshua1/emekyehoshua1__text_files.zip,https://files.dicta.org.il/emekyehoshua1/emekyehoshua1__nikud_meteg_files.zip,https://files.dicta.org.il/emekyehoshua1/emekyehoshua1__ocr_data_html_files.zip,emekyehoshua1,Emek Yehoshua part 1,Yehoshua Izaik bar Yehiel Shapiro,Responsa,Jerusalem,,emekyehoshua1,
עמק יהושע חלק ב,1925,"שפירא, יהושע איזיק בן יחיאל",ירושלים,דרשות,ספריית דיקטה,https://files.dicta.org.il/emekyehoshua2/emekyehoshua2__text_files.zip,https://files.dicta.org.il/emekyehoshua2/emekyehoshua2__nikud_meteg_files.zip,https://files.dicta.org.il/emekyehoshua2/emekyehoshua2__ocr_data_html_files.zip,emekyehoshua2,Emek Yehoshua part 2,Yehoshua Izaik bar Yehiel Shapiro,Derashot,Jerusalem,,emekyehoshua2,
אמת ליעקב,1865,רבי יעקב בן יעקב משה לורברבוים מליסא,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/emetlayaakov/emetlayaakov__text_files.zip,https://files.dicta.org.il/emetlayaakov/emetlayaakov__nikud_meteg_files.zip,https://files.dicta.org.il/emetlayaakov/emetlayaakov__ocr_data_html_files.zip,emetlayaakov,Emet La-Yaakov,Yaakov Lerbernbaum,Acharonim on Talmud Bavli,Warsaw,,emetlayaakov,
אמונת שמואל,1884,רבי אהרון שמואל קוידנובר,לעמבערג,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/emunatshmuel/emunatshmuel__text_files.zip,https://files.dicta.org.il/emunatshmuel/emunatshmuel__nikud_meteg_files.zip,https://files.dicta.org.il/emunatshmuel/emunatshmuel__ocr_data_html_files.zip,emunatshmuel_EGT,Emunat Shmuelr,Aaron Samuel ben Israel Kaidanover,Responsa,Lamberg,,emunatshmuel,
עיני הכהן,1865,"יצחקי, אברהם בן יצחק חי הכהן",ליוורנו ,ספרי הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/enehakohen/enehakohen__text_files.zip,https://files.dicta.org.il/enehakohen/enehakohen__nikud_meteg_files.zip,https://files.dicta.org.il/enehakohen/enehakohen__ocr_data_html_files.zip,enehakohen,Ene ha-Kohen,"Yitzhaki, Avraham",Halachah and Minhagim,Livorno,,enehakohen,
עין התכלת,1892,הרב גרשון העניך ליינער,וורשה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/enhatecheleit/enhatecheleit__text_files.zip,https://files.dicta.org.il/enhatecheleit/enhatecheleit__nikud_meteg_files.zip,https://files.dicta.org.il/enhatecheleit/enhatecheleit__ocr_data_html_files.zip,enhatecheleit,En haTecheleit,Rabbi Gershon Chanoch Henech Leiner of Radzyn,Responsa,Warsaw,,enhatecheleit,
ערך השולחן חושן משפט חלק ג,1891,רבי יצחק טייב,תוניס,מפרשי השולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/erekhhashulchan/erekhhashulchan__text_files.zip,https://files.dicta.org.il/erekhhashulchan/erekhhashulchan__nikud_meteg_files.zip,https://files.dicta.org.il/erekhhashulchan/erekhhashulchan__ocr_data_html_files.zip,erekhhashulchan,Erekh Hashulchan Choshen Mishpat part 3,rabbi yitzchak tayeb,shulchan aruch commentaries,Tunisia,,erekhhashulchan,
ערך השולחן חושן משפט חלק ב,1891,רבי יצחק טייב,תוניס,מפרשי השולחן ערוך,ספריית דיקטה,https://files.dicta.org.il/erekhhashulchanchoshenmishpat2/erekhhashulchanchoshenmishpat2__text_files.zip,https://files.dicta.org.il/erekhhashulchanchoshenmishpat2/erekhhashulchanchoshenmishpat2__nikud_meteg_files.zip,https://files.dicta.org.il/erekhhashulchanchoshenmishpat2/erekhhashulchanchoshenmishpat2__ocr_data_html_files.zip,erekhhashulchanchoshenmishpat2,Erekh Hashulchan Choshen Mishpat part 2,rabbi yitzchak tayeb,shulchan aruch commentaries,Tunisia,,erekhhashulchanchoshenmishpat2,
ארץ צבי (פרומר) א,1939,הרב אריה צבי פרומר,לובלין,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/eretztzvi/eretztzvi__text_files.zip,https://files.dicta.org.il/eretztzvi/eretztzvi__nikud_meteg_files.zip,https://files.dicta.org.il/eretztzvi/eretztzvi__ocr_data_html_files.zip,eretztzvi,Eretz Tzvi part 1,Aryeh Tzvi Frommer,Responsa,Lublin,,eretztzvi,
אשכול הכופר על רות,1907,ר' אברהם סבע,ברדיוב,"מפרשי התנ""ך",ספריית דיקטה,https://files.dicta.org.il/eshkolhakoferonruth/eshkolhakoferonruth__text_files.zip,https://files.dicta.org.il/eshkolhakoferonruth/eshkolhakoferonruth__nikud_meteg_files.zip,https://files.dicta.org.il/eshkolhakoferonruth/eshkolhakoferonruth__ocr_data_html_files.zip,eshkolhakoferonruth,Eshkol HaKofer on Ruth,Abraham Saba,Bible Commentaries,Bardejov,,eshkolhakoferonruth,
"אבן העוזר על הש""ס",1878,ר' בנימין עוזר הכהן, ווארשא,"פרשני הש""ס",ספריית דיקטה,https://files.dicta.org.il/evenhaozershas/evenhaozershas__text_files.zip,https://files.dicta.org.il/evenhaozershas/evenhaozershas__nikud_meteg_files.zip,https://files.dicta.org.il/evenhaozershas/evenhaozershas__ocr_data_html_files.zip,evenhaozershas,Even HaOzer (shas),Rabbi Binyamin Ozer HaCohen,Shas Commentators,Warsaw,,evenhaozershas,
אבן הראשה,1887,"קלאצקין, אליהו בן נפתלי הירץ",ורשה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/evenhareisho/evenhareisho__text_files.zip,https://files.dicta.org.il/evenhareisho/evenhareisho__nikud_meteg_files.zip,https://files.dicta.org.il/evenhareisho/evenhareisho__ocr_data_html_files.zip,evenhareisho,Even Hareisho,Eliyahu Ben Naftali Hertz Klatzkin,Responsa,Warsaw,,evenhareisho,
אבן שתיה,1893,הרב אליעזר דון יחיא,ווילנה,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/evenshethiya/evenshethiya__text_files.zip,https://files.dicta.org.il/evenshethiya/evenshethiya__nikud_meteg_files.zip,https://files.dicta.org.il/evenshethiya/evenshethiya__ocr_data_html_files.zip,evenshethiya,Even Shethiya,Eliezer Ben Shabsi Don Yichiya,Responsa,Vilna,,evenshethiya,
אבן שהם,1899,משה בן יהודה ממינסק,פודגורזה,דרשות ודרושים,ספריית דיקטה,https://files.dicta.org.il/evenshoham/evenshoham__text_files.zip,https://files.dicta.org.il/evenshoham/evenshoham__nikud_meteg_files.zip,https://files.dicta.org.il/evenshoham/evenshoham__ocr_data_html_files.zip,evenshoham,Even Shoham,Moseh Perlamutter,Derashot,Podgorze,,evenshoham,
"גליוני הש""ס מועד",1909,ר' יוסף ענגיל,וינה,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/gelyonihashasmoed/gelyonihashasmoed__text_files.zip,https://files.dicta.org.il/gelyonihashasmoed/gelyonihashasmoed__nikud_meteg_files.zip,https://files.dicta.org.il/gelyonihashasmoed/gelyonihashasmoed__ocr_data_html_files.zip,gelyonihashasmoed,Gelyoni haShas Moed,Rabbi Yosef Engil,Acharonim on Talmud Bavli,Vienna,,gelyonihashasmoed,
"גליוני הש""ס נשים",1917,ר' יוסף ענגיל,וינה,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/gelyonihashasnashim/gelyonihashasnashim__text_files.zip,https://files.dicta.org.il/gelyonihashasnashim/gelyonihashasnashim__nikud_meteg_files.zip,https://files.dicta.org.il/gelyonihashasnashim/gelyonihashasnashim__ocr_data_html_files.zip,gelyonihashasnashim,Gelyoni haShas Nashim,Rabbi Yosef Engil,Acharonim on Talmud Bavli,Vienna,,gelyonihashasnashim,
"גליוני הש""ס נזיקין",1917,ר' יוסף ענגיל,וינה,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/gelyonihashasnezikin/gelyonihashasnezikin__text_files.zip,https://files.dicta.org.il/gelyonihashasnezikin/gelyonihashasnezikin__nikud_meteg_files.zip,https://files.dicta.org.il/gelyonihashasnezikin/gelyonihashasnezikin__ocr_data_html_files.zip,gelyonihashasnezikin,Gelyoni haShas Nezikin,Rabbi Yosef Engil,Acharonim on Talmud Bavli,Vienna,,gelyonihashasnezikin,
גרש ירחים,1869,הרב אריה לייב צינץ,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/gereshyerachim/gereshyerachim__text_files.zip,https://files.dicta.org.il/gereshyerachim/gereshyerachim__nikud_meteg_files.zip,https://files.dicta.org.il/gereshyerachim/gereshyerachim__ocr_data_html_files.zip,gereshyerachim_EGT,Geresh Yerachim,Aryeh Leib ben Moses Zuenz,Acharonim on Talmud Bavli,Warsaw,,gereshyerachim,
גבורת ארי מכות ביצה נזיר,1907,רבי אריה ליב גינזבורג,פיעטרקוב,"מפרשי הש""ס",ספריית דיקטה,https://files.dicta.org.il/gevuratarimakkotbeitzahnazir/gevuratarimakkotbeitzahnazir__text_files.zip,https://files.dicta.org.il/gevuratarimakkotbeitzahnazir/gevuratarimakkotbeitzahnazir__nikud_meteg_files.zip,https://files.dicta.org.il/gevuratarimakkotbeitzahnazir/gevuratarimakkotbeitzahnazir__ocr_data_html_files.zip,gevuratarimakkotbeitzahnazir_EGT,Gevurat Arן Makkot Beitzah Nazir,Aryeh Leib ben Asher Ginzburg,Shas Commentators,Piotrkow,,gevuratarimakkotbeitzahnazir,
גבורת ארי תענית,1862,רבי אריה ליב גינזבורג,ווילנא,"מפרשי הש""ס",ספריית דיקטה,https://files.dicta.org.il/gevurataritaanit/gevurataritaanit__text_files.zip,https://files.dicta.org.il/gevurataritaanit/gevurataritaanit__nikud_meteg_files.zip,https://files.dicta.org.il/gevurataritaanit/gevurataritaanit__ocr_data_html_files.zip,gevurataritaanit_EGT,Gevurat Ari Taanit,Aryeh Leib ben Asher Ginzburg,Shas Commentators,Vilna,,gevurataritaanit,
גבורת ארי יומא,1907,רבי אריה ליב גינזבורג,פיעטרקוב,"מפרשי הש""ס",ספריית דיקטה,https://files.dicta.org.il/gevuratariyoma/gevuratariyoma__text_files.zip,https://files.dicta.org.il/gevuratariyoma/gevuratariyoma__nikud_meteg_files.zip,https://files.dicta.org.il/gevuratariyoma/gevuratariyoma__ocr_data_html_files.zip,gevuratariyoma_EGT,Gevurat Ari Yoma,Aryeh Leib ben Asher Ginzburg,Shas Commentators,Piotrkow,,gevuratariyoma,
גבורת יהונתן,1900,"אייבשיץ, יהונתן בן נתן נטע",ווארשא,דרשות,ספריית דיקטה,https://files.dicta.org.il/gevuratyonatan/gevuratyonatan__text_files.zip,https://files.dicta.org.il/gevuratyonatan/gevuratyonatan__nikud_meteg_files.zip,https://files.dicta.org.il/gevuratyonatan/gevuratyonatan__ocr_data_html_files.zip,gevuratyonatan,Gevurat Yonatan,Jonathan Eybeschutz,Derashot,Warsaw,,gevuratyonatan,
גבורות שלמה,1902,"קלוגר, שלמה בן יהודה אהרן",לבוב,נושאים שונים,ספריית דיקטה,https://files.dicta.org.il/gevurosshlomo/gevurosshlomo__text_files.zip,https://files.dicta.org.il/gevurosshlomo/gevurosshlomo__nikud_meteg_files.zip,https://files.dicta.org.il/gevurosshlomo/gevurosshlomo__ocr_data_html_files.zip,gevurosshlomo,Gevurot Shlomo,Solomon ben Judah Aaron Kluger,Others,Lvov,,gevurosshlomo,
גבורות שמונים,1930,"ענגיל, יוסף בן יהודה",ורשה,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/gevurotshmonim/gevurotshmonim__text_files.zip,https://files.dicta.org.il/gevurotshmonim/gevurotshmonim__nikud_meteg_files.zip,https://files.dicta.org.il/gevurotshmonim/gevurotshmonim__ocr_data_html_files.zip,gevurotshmonim,Gevurot Shmonim,Yosef Engel,Acharonim on Talmud Bavli,Warsaw,,gevurotshmonim,
גנת ביתן,1898,"בילצקי, תנחום גרשון בן נתן נטע ליב",ווארשא,"שו""ת",,https://files.dicta.org.il/ginatbitan/ginatbitan__text_files.zip,https://files.dicta.org.il/ginatbitan/ginatbitan__nikud_meteg_files.zip,https://files.dicta.org.il/ginatbitan/ginatbitan__ocr_data_html_files.zip,ginatbitan,Ginat Bitan,"Bilitzky, Tanchum Gershon",Responsa,Warsaw,,ginatbitan,
גבעת הלבונה,1939,"בומבאך, נפתלי הירץ בן יוסף",Lublin,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/givathalevonah/givathalevonah__text_files.zip,https://files.dicta.org.il/givathalevonah/givathalevonah__nikud_meteg_files.zip,https://files.dicta.org.il/givathalevonah/givathalevonah__ocr_data_html_files.zip,givathalevonah,Givat Halevonah,,Responsa,Lvov,,givathalevonah,
גושפנקא דמלכא דרשות,1861,ר' פארוז קרסינטי,ליוורנו,דרשות,ספריית דיקטה,https://files.dicta.org.il/gushpankademalkaderashot/gushpankademalkaderashot__text_files.zip,https://files.dicta.org.il/gushpankademalkaderashot/gushpankademalkaderashot__nikud_meteg_files.zip,https://files.dicta.org.il/gushpankademalkaderashot/gushpankademalkaderashot__ocr_data_html_files.zip,gushpankademalkaderashot,Gushpanka De-Malka (Derashot),Pariz Keresinti,Derashot,Levorno,,gushpankademalkaderashot,
